tau_s,tau_m,answerable_retention,unanswerable_refusal,balanced_abstention_accuracy
-8.0,4.0,0.9818181818181818,0.7,0.8409090909090908
-8.0,4.5,0.9745454545454545,0.8333333333333334,0.9039393939393939
-8.0,5.0,0.9636363636363636,0.8666666666666667,0.9151515151515152
-7.5,-5.0,1.0,0.43333333333333335,0.7166666666666667
-7.5,-4.5,1.0,0.43333333333333335,0.7166666666666667
-7.5,-4.0,1.0,0.43333333333333335,0.7166666666666667
-7.5,-3.5,1.0,0.43333333333333335,0.7166666666666667
-7.5,-3.0,1.0,0.43333333333333335,0.7166666666666667
-7.5,-2.5,1.0,0.43333333333333335,0.7166666666666667
-7.5,-2.0,1.0,0.43333333333333335,0.7166666666666667
-7.5,-1.5,1.0,0.43333333333333335,0.7166666666666667
-7.5,-1.0,1.0,0.43333333333333335,0.7166666666666667
-7.5,-0.5,1.0,0.43333333333333335,0.7166666666666667
-7.5,0.0,1.0,0.43333333333333335,0.7166666666666667
-7.5,0.5,1.0,0.43333333333333335,0.7166666666666667
-7.5,1.0,0.9963636363636363,0.4666666666666667,0.7315151515151515
-7.5,1.5,0.9963636363636363,0.5,0.7481818181818182
-7.5,2.0,0.9963636363636363,0.6,0.7981818181818181
-7.5,2.5,0.9963636363636363,0.6333333333333333,0.8148484848484848
-7.5,3.0,0.9963636363636363,0.7,0.8481818181818181
-7.5,3.5,0.9890909090909091,0.7,0.8445454545454545
-7.5,4.0,0.9818181818181818,0.7,0.8409090909090908
-7.5,4.5,0.9745454545454545,0.8333333333333334,0.9039393939393939
-7.5,5.0,0.9636363636363636,0.8666666666666667,0.9151515151515152
-7.0,-5.0,1.0,0.4666666666666667,0.7333333333333334
-7.0,-4.5,1.0,0.4666666666666667,0.7333333333333334
-7.0,-4.0,1.0,0.4666666666666667,0.7333333333333334
-7.0,-3.5,1.0,0.4666666666666667,0.7333333333333334
-7.0,-3.0,1.0,0.4666666666666667,0.7333333333333334
-7.0,-2.5,1.0,0.4666666666666667,0.7333333333333334
-7.0,-2.0,1.0,0.4666666666666667,0.7333333333333334
-7.0,-1.5,1.0,0.4666666666666667,0.7333333333333334
-7.0,-1.0,1.0,0.4666666666666667,0.7333333333333334
-7.0,-0.5,1.0,0.4666666666666667,0.7333333333333334
-7.0,0.0,1.0,0.4666666666666667,0.7333333333333334
-7.0,0.5,1.0,0.4666666666666667,0.7333333333333334
-7.0,1.0,0.9963636363636363,0.5,0.7481818181818182
-7.0,1.5,0.9963636363636363,0.5,0.7481818181818182
-7.0,2.0,0.9963636363636363,0.6,0.7981818181818181
-7.0,2.5,0.9963636363636363,0.6333333333333333,0.8148484848484848
-7.0,3.0,0.9963636363636363,0.7,0.8481818181818181
-7.0,3.5,0.9890909090909091,0.7,0.8445454545454545
-7.0,4.0,0.9818181818181818,0.7,0.8409090909090908
-7.0,4.5,0.9745454545454545,0.8333333333333334,0.9039393939393939
-7.0,5.0,0.9636363636363636,0.8666666666666667,0.9151515151515152
-6.5,-5.0,1.0,0.4666666666666667,0.7333333333333334
-6.5,-4.5,1.0,0.4666666666666667,0.7333333333333334
-6.5,-4.0,1.0,0.4666666666666667,0.7333333333333334
-6.5,-3.5,1.0,0.4666666666666667,0.7333333333333334
-6.5,-3.0,1.0,0.4666666666666667,0.7333333333333334
-6.5,-2.5,1.0,0.4666666666666667,0.7333333333333334
-6.5,-2.0,1.0,0.4666666666666667,0.7333333333333334
-6.5,-1.5,1.0,0.4666666666666667,0.7333333333333334
-6.5,-1.0,1.0,0.4666666666666667,0.7333333333333334
-6.5,-0.5,1.0,0.4666666666666667,0.7333333333333334
-6.5,0.0,1.0,0.4666666666666667,0.7333333333333334
-6.5,0.5,1.0,0.4666666666666667,0.7333333333333334
-6.5,1.0,0.9963636363636363,0.5,0.7481818181818182
-6.5,1.5,0.9963636363636363,0.5,0.7481818181818182
-6.5,2.0,0.9963636363636363,0.6,0.7981818181818181
-6.5,2.5,0.9963636363636363,0.6333333333333333,0.8148484848484848
-6.5,3.0,0.9963636363636363,0.7,0.8481818181818181
-6.5,3.5,0.9890909090909091,0.7,0.8445454545454545
-6.5,4.0,0.9818181818181818,0.7,0.8409090909090908
-6.5,4.5,0.9745454545454545,0.8333333333333334,0.9039393939393939
-6.5,5.0,0.9636363636363636,0.8666666666666667,0.9151515151515152
-6.0,-5.0,1.0,0.5,0.75
-6.0,-4.5,1.0,0.5,0.75
-6.0,-4.0,1.0,0.5,0.75
-6.0,-3.5,1.0,0.5,0.75
-6.0,-3.0,1.0,0.5,0.75
-6.0,-2.5,1.0,0.5,0.75
-6.0,-2.0,1.0,0.5,0.75
-6.0,-1.5,1.0,0.5,0.75
-6.0,-1.0,1.0,0.5,0.75
-6.0,-0.5,1.0,0.5,0.75
-6.0,0.0,1.0,0.5,0.75
-6.0,0.5,1.0,0.5,0.75
-6.0,1.0,0.9963636363636363,0.5333333333333333,0.7648484848484849
-6.0,1.5,0.9963636363636363,0.5333333333333333,0.7648484848484849
-6.0,2.0,0.9963636363636363,0.6333333333333333,0.8148484848484848
-6.0,2.5,0.9963636363636363,0.6333333333333333,0.8148484848484848
-6.0,3.0,0.9963636363636363,0.7,0.8481818181818181
